Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms
CN-01290,United Workshop,98592924,,481.53,Joseph,60 days
CN-01291,Al Manar Real Estate,54545785,10000,979.13,Suresh,Cash
CN-01292,United MEP Services,91599053,1000,"1.287,09",Rakesh,90 days
CN-01293,Oasis Trading Est,54943822,10000,268.95,Joseph,90 days
CN-01294,Desert Contracting Co,59581146,,1357.67,Suresh,COD
CN-01295,Falcon MEP Services,98888313,1000,KWD 121.82,Mahmoud,45 days
CN-01296,Al Rai Contracting Co,67486694,5000,482.78,Khaled,90 days
CN-01297,Kazma Real Estate,57412195,10000,322.57,Khaled,Cash
CN-01298,Kazma Engineering,52635772,2500,"2.849,33",Joseph,COD
CN-01299,Fahad Engineering,92853203,2500,1251.50,Mahmoud,Cash
CN-01300,Gulf MEP Services,92196838,5000,1332.95,Suresh,60 days
CN-01301,Pearl Engineering,62156926,2500,KWD 3530.49,Mahmoud,Cash
CN-01302,Pearl Workshop,97087895,5000,3578.93,Joseph,90 days
CN-01303,Desert Builders,64513383,,"3,390.19",Khaled,COD
CN-01304,Sabah Real Estate,51823686,1000,"2.099,37",Joseph,30 days
CN-01305,Al Rai Contracting Co,67388815,5000,2257.35,Mahmoud,30 days
CN-01306,Kazma Trading Est,67282833,,3413.62,Mahmoud,60 days
CN-01307,Al Manar Construction,96930031,5000,KWD 1823.70,Suresh,Cash
CN-01308,United Trading Est,98463121,,824.23,Suresh,30 days
CN-01309,Salmi Builders,97282252,10000,"3,654.27",Mahmoud,90 days
CN-01310,Burgan Engineering,93782369,2500,"3.583,57",Joseph,90 days
CN-01311,Oasis Workshop,66174834,2500,521.71,Anwar,Cash
CN-01312,Sabah Trading Est,56337886,10000,3948.62,Mahmoud,COD
CN-01313,Modern Real Estate,67699178,5000,KWD 3039.14,Joseph,30 days
CN-01314,Salmi Builders,94334758,,2367.58,Joseph,60 days
CN-01315,Al Rai Real Estate,92203953,,"1,207.59",Rakesh,COD
CN-01316,Al Manar Engineering,99628011,5000,"479,54",Mahmoud,45 days
CN-01317,National Maintenance Co,97107421,10000,3797.95,Rakesh,90 days
CN-01318,Modern Real Estate,54112415,10000,2528.29,Suresh,COD
CN-01319,Mubarak Maintenance Co,95815711,2500,KWD 3986.21,Khaled,45 days
CN-01320,Al Rai Workshop,58691642,2500,2367.70,Mahmoud,90 days
CN-01321,Marina Real Estate,57637066,5000,39.45,Rakesh,Cash
CN-01322,National Builders,92632775,10000,"2.036,96",Khaled,45 days
CN-01323,Prime Contracting Co,59073885,2500,968.19,Rakesh,60 days
CN-01324,Capital Workshop,58710300,5000,2576.74,Suresh,Cash
CN-01325,Gulf Builders,99119363,,KWD 3129.84,Suresh,COD
CN-01326,United Maintenance Co,54822475,2500,873.03,Khaled,30 days
CN-01327,Fahad Maintenance Co,94732820,2500,"2,102.94",Anwar,COD
CN-01328,Al Manar Contracting Co,91300468,5000,"652,17",Suresh,45 days
CN-01329,National Real Estate,59523347,10000,3243.96,Mahmoud,60 days
CN-01330,Mubarak Workshop,99370157,2500,346.88,Suresh,COD
CN-01331,Mubarak Workshop,64544068,5000,KWD 2223.04,Mahmoud,Cash
CN-01332,National Workshop,68377360,,3334.90,Anwar,30 days
CN-01333,Al Rai Engineering,69818618,,"3,613.90",Rakesh,45 days
CN-01334,Burgan Maintenance Co,55364450,2500,"964,82",Anwar,Cash
CN-01335,United Trading Est,53310462,,63.86,Joseph,30 days
CN-01336,Al Rai Workshop,53750002,,670.08,Mahmoud,30 days
CN-01337,Al Manar MEP Services,92257059,1000,KWD 2973.50,Joseph,30 days
CN-01338,Al Rai Contracting Co,97070900,,909.45,Khaled,COD
CN-01339,Pearl Engineering,63071614,10000,419.56,Joseph,COD
CN-01340,Capital Workshop,53182585,2500,"2.792,79",Khaled,30 days
CN-01341,Al Rai MEP Services,67545548,1000,2918.00,Anwar,90 days
CN-01342,Prime Construction,51612649,10000,2378.02,Suresh,60 days
CN-01343,Al Rai Contracting Co,51226113,,KWD 3916.14,Suresh,COD
CN-01344,Kazma Workshop,59453551,10000,520.44,Anwar,45 days
CN-01345,Prime Engineering,91725624,,650.69,Khaled,COD
CN-01346,Falcon Contracting Co,58963377,10000,"150,36",Mahmoud,30 days
CN-01347,Al Rai Real Estate,94108241,2500,1675.06,Suresh,30 days
CN-01348,Gulf Contracting Co,95001385,1000,2876.43,Suresh,COD
CN-01349,Kazma MEP Services,57528983,1000,KWD 3998.47,Suresh,90 days
CN-01350,Mubarak Engineering,92518986,1000,489.87,Joseph,COD
CN-01351,Prime Trading Est,61062468,10000,"1,590.93",Khaled,Cash
CN-01352,Gulf MEP Services,62388618,10000,"3.004,31",Joseph,COD
CN-01353,Sabah Workshop,94467616,,3916.28,Anwar,COD
CN-01354,Pearl Real Estate,67410379,1000,3714.14,Rakesh,30 days
CN-01355,Kazma Real Estate,62388420,10000,KWD 541.07,Mahmoud,COD
CN-01356,United Workshop,96573384,,3390.69,Khaled,COD
CN-01357,Kazma Builders,54130149,,634.09,Joseph,90 days
CN-01358,Al Rai Interiors,52840776,2500,"1.636,22",Suresh,60 days
CN-01359,National Contracting Co,59874878,5000,2915.10,Mahmoud,60 days
CN-01360,Falcon Engineering,62138074,10000,605.98,Mahmoud,90 days
CN-01361,Falcon MEP Services,59849955,1000,KWD 58.07,Joseph,Cash
CN-01362,Kazma Real Estate,58429666,10000,1318.02,Mahmoud,30 days
CN-01363,Gulf Trading Est,94425150,2500,"1,416.94",Anwar,60 days
CN-01364,Burgan Real Estate,64535808,10000,"878,50",Mahmoud,45 days
CN-01365,Reliable Builders,65106397,10000,3377.53,Joseph,90 days
CN-01366,Reliable Interiors,51898529,1000,1941.36,Rakesh,30 days
CN-01367,Gulf MEP Services,53775250,,KWD 3974.25,Suresh,60 days
CN-01368,Capital Trading Est,57215236,1000,1024.30,Mahmoud,60 days
CN-01369,Sabah Interiors,54588021,10000,"1,934.01",Joseph,COD
CN-01370,Reliable Interiors,65315374,2500,"3.143,25",Khaled,90 days
CN-01371,Salmi Contracting Co,67413458,,2234.71,Rakesh,60 days
CN-01372,Salmi MEP Services,69218095,1000,2783.30,Mahmoud,30 days
CN-01373,Marina Maintenance Co,92979622,,KWD 3376.86,Khaled,90 days
CN-01374,Kazma Construction,67709730,1000,3494.62,Rakesh,COD
CN-01375,United Real Estate,62325205,2500,417.87,Rakesh,90 days
CN-01376,Desert Maintenance Co,93007860,10000,"2.288,81",Mahmoud,90 days
CN-01377,Modern Trading Est,93108069,1000,157.31,Mahmoud,60 days
CN-01378,Al Rai MEP Services,61145420,,2037.66,Suresh,45 days
CN-01379,Al Manar Maintenance Co,63732347,,KWD 105.39,Suresh,60 days
CN-01380,Marina Engineering,95253346,1000,1423.45,Joseph,90 days
CN-01381,Oasis Real Estate,57878254,1000,"1,740.70",Mahmoud,COD
CN-01382,Pearl Construction,68718201,2500,"710,86",Anwar,60 days
CN-01383,Falcon Maintenance Co,51191869,2500,3264.31,Khaled,COD
CN-01384,Salmi Engineering,98654393,10000,3905.67,Rakesh,45 days
CN-01385,Reliable Contracting Co,65280688,1000,KWD 792.79,Joseph,Cash
CN-01386,Mubarak MEP Services,92435170,,2043.96,Suresh,COD
CN-01387,Gulf Real Estate,62738566,10000,898.38,Khaled,60 days
CN-01388,Salmi Workshop,69666642,,"2.920,47",Rakesh,30 days
CN-01389,Salmi Interiors,97094802,1000,3761.00,Khaled,60 days
CN-01390,Burgan Maintenance Co,62218593,1000,2911.12,Khaled,Cash
CN-01391,Marina Interiors,96000731,5000,KWD 2960.93,Mahmoud,Cash
CN-01392,Capital Maintenance Co,94212938,1000,2499.48,Khaled,90 days
CN-01393,Reliable Contracting Co,51146361,5000,"2,533.65",Suresh,COD
CN-01394,Mubarak Trading Est,58375659,5000,"3.071,25",Anwar,45 days
CN-01395,Burgan Construction,64500796,2500,2032.98,Suresh,Cash
CN-01396,Capital Workshop,93733293,5000,3041.79,Anwar,60 days
CN-01397,Fahad Workshop,51176914,,KWD 3683.31,Suresh,30 days
CN-01398,Sabah Real Estate,68323201,2500,690.64,Rakesh,30 days
CN-01399,Sabah MEP Services,92720386,1000,"3,371.63",Suresh,30 days
CN-01400,Pearl Maintenance Co,69033940,1000,"1.509,89",Mahmoud,60 days
CN-01401,Kazma Real Estate,66013754,10000,3932.26,Mahmoud,Cash
CN-01402,Sabah Real Estate,51362058,2500,1702.28,Mahmoud,30 days
CN-01403,Marina Builders,99321352,2500,KWD 2171.04,Mahmoud,30 days
CN-01404,Sabah Real Estate,96454439,1000,107.71,Khaled,90 days
CN-01405,Pearl Interiors,55214448,,644.55,Joseph,45 days
CN-01406,Sabah Construction,61570676,,"920,99",Khaled,COD
CN-01407,Al Manar Trading Est,67830981,10000,1818.36,Anwar,30 days
CN-01408,Fahad Workshop,66924774,10000,2299.87,Rakesh,COD
CN-01409,Marina MEP Services,58086699,5000,KWD 3464.72,Joseph,Cash
CN-01410,Fahad Real Estate,66467082,5000,3081.98,Rakesh,90 days
CN-01411,Prime Trading Est,65285991,1000,"3,765.54",Anwar,60 days
CN-01412,Capital Engineering,52329355,2500,"2.371,38",Anwar,COD
CN-01413,Marina Engineering,55458773,,2284.30,Anwar,60 days
CN-01414,Al Manar Contracting Co,62290910,10000,2603.36,Suresh,90 days
CN-01415,Burgan Real Estate,96693858,2500,KWD 2679.98,Mahmoud,45 days
CN-01416,Salmi Contracting Co,99202482,10000,2123.48,Joseph,60 days
CN-01417,Reliable Contracting Co,92048015,1000,555.34,Mahmoud,60 days
CN-01418,Kazma Workshop,69738374,5000,"2.039,01",Rakesh,30 days
CN-01419,Kazma Contracting Co,93937191,2500,2404.90,Suresh,45 days
CN-01420,Modern Contracting Co,53429041,2500,1495.15,Mahmoud,60 days
CN-01421,National Construction,94303506,5000,KWD 3269.98,Mahmoud,60 days
CN-01422,Capital Builders,57438158,2500,3828.05,Joseph,COD
CN-01423,United Maintenance Co,94965093,2500,"1,941.99",Mahmoud,60 days
CN-01424,Al Rai Real Estate,91896692,1000,"3.746,94",Joseph,COD
CN-01425,Modern Trading Est,97691584,,1653.75,Suresh,COD
CN-01426,Falcon Trading Est,65717117,10000,2911.55,Suresh,60 days
CN-01427,Falcon Interiors,52827206,,KWD 2776.63,Anwar,COD
CN-01428,National Contracting Co,58360240,,3918.03,Anwar,60 days
CN-01429,Al Manar Builders,62964393,2500,338.15,Khaled,90 days
CN-01430,Sabah Interiors,69712559,1000,"2.509,35",Anwar,COD
CN-01431,Gulf Maintenance Co,59242275,2500,400.32,Suresh,30 days
CN-01432,Al Rai MEP Services,99097509,5000,2361.54,Joseph,Cash
CN-01433,Marina Construction,58960231,,KWD 184.18,Khaled,45 days
CN-01434,Capital Maintenance Co,53063450,5000,1329.04,Anwar,COD
CN-01435,Al Manar Builders,67165154,2500,"2,985.39",Joseph,90 days
CN-01436,Reliable Interiors,91368675,5000,"1.659,82",Anwar,60 days
CN-01437,Mubarak Maintenance Co,62576615,2500,2715.04,Khaled,60 days
CN-01438,Mubarak Builders,98856562,,735.05,Anwar,COD
CN-01439,Oasis MEP Services,92249507,1000,KWD 2653.91,Mahmoud,COD
CN-01440,Salmi Construction,92950252,2500,3750.98,Mahmoud,Cash
CN-01441,Burgan Construction,53125586,1000,"2,566.17",Anwar,45 days
CN-01442,Oasis Engineering,54150495,10000,"1.893,56",Joseph,COD
CN-01443,Reliable MEP Services,58906939,1000,823.56,Mahmoud,Cash
CN-01444,Oasis Construction,91325720,2500,3682.15,Suresh,COD
CN-01445,United Engineering,97594520,,KWD 1930.52,Rakesh,60 days
CN-01446,Fahad MEP Services,64750752,2500,81.33,Anwar,45 days
CN-01447,Kazma Interiors,64144995,5000,"2,429.44",Khaled,Cash
CN-01448,Oasis Builders,55641373,5000,"1.064,38",Anwar,45 days
CN-01449,Burgan Maintenance Co,56461479,5000,1838.27,Suresh,45 days
CN-01450,Modern Workshop,56701260,2500,1921.16,Rakesh,COD
CN-01451,Oasis Maintenance Co,67737459,10000,KWD 201.66,Mahmoud,COD
CN-01452,Modern Maintenance Co,62391054,1000,2409.71,Rakesh,Cash
CN-01453,Desert Workshop,91974931,10000,"1,836.52",Khaled,Cash
CN-01454,Fahad Interiors,59136725,5000,"2.570,70",Anwar,30 days
CN-01455,National Builders,56097747,10000,487.36,Suresh,60 days
CN-01456,Mubarak MEP Services,95109378,5000,2840.91,Anwar,60 days
CN-01457,United Contracting Co,96128830,5000,KWD 851.67,Mahmoud,90 days
CN-01458,National Contracting Co,68067654,5000,3830.28,Suresh,Cash
CN-01459,Desert Maintenance Co,58422640,2500,"1,815.68",Khaled,90 days
CN-01460,Kazma MEP Services,64433506,,"2.655,94",Khaled,Cash
CN-01461,United Construction,58885426,10000,775.70,Mahmoud,60 days
CN-01462,Oasis Builders,51252441,1000,663.03,Joseph,COD
CN-01463,Al Rai Maintenance Co,56658467,10000,KWD 3324.54,Anwar,Cash
CN-01464,Kazma Maintenance Co,69696486,10000,956.00,Mahmoud,45 days
CN-01465,Marina Trading Est,68338633,,734.75,Suresh,COD
CN-01466,Desert Trading Est,55936974,5000,"3.380,20",Mahmoud,30 days
CN-01467,Al Manar Contracting Co,63515598,5000,1809.39,Rakesh,COD
CN-01468,Mubarak Construction,64532462,5000,1925.38,Anwar,COD
CN-01469,Fahad Maintenance Co,57938437,,KWD 2974.02,Khaled,60 days
CN-01470,Burgan Real Estate,53817561,5000,1418.31,Anwar,30 days
CN-01471,Kazma Interiors,65465321,5000,"1,190.13",Rakesh,30 days
CN-01472,Desert Engineering,93157055,,"1.414,84",Anwar,60 days
CN-01473,Marina Workshop,91574348,2500,451.94,Rakesh,90 days
CN-01474,Al Rai Workshop,59199610,10000,2020.86,Anwar,30 days
CN-01475,Pearl Workshop,67403446,5000,KWD 2161.03,Suresh,90 days
CN-01476,Desert MEP Services,58436874,1000,1051.59,Suresh,90 days
CN-01477,Falcon Workshop,62163100,10000,"2,608.91",Rakesh,45 days
CN-01478,Reliable Builders,64796235,,"3.338,80",Suresh,60 days
CN-01479,Sabah Builders,91866122,10000,2175.20,Khaled,90 days
CN-01480,Burgan Maintenance Co,66631118,,3838.59,Joseph,30 days
CN-01481,Falcon Maintenance Co,68361348,2500,KWD 2111.90,Khaled,Cash
CN-01482,Mubarak Trading Est,62596758,,3400.92,Anwar,COD
CN-01483,Salmi Construction,67186378,5000,"2,302.38",Mahmoud,30 days
CN-01484,Mubarak Workshop,97147761,5000,"2.366,96",Suresh,30 days
CN-01485,National Contracting Co,54856853,5000,141.93,Rakesh,90 days
CN-01486,Desert Maintenance Co,58665597,,3265.66,Rakesh,COD
CN-01487,National Construction,51736039,,KWD 1677.02,Anwar,COD
CN-01488,Kazma Workshop,91335352,10000,1191.00,Rakesh,90 days
CN-01489,Reliable Contracting Co,52426625,2500,248.81,Mahmoud,60 days
CN-01490,Salmi Real Estate,95107705,10000,"3.163,47",Suresh,COD
CN-01491,Desert Trading Est,67648052,5000,2269.13,Rakesh,30 days
CN-01492,Desert Construction,63625679,10000,3977.94,Khaled,COD
CN-01493,National Workshop,56685938,2500,KWD 1542.95,Mahmoud,60 days
CN-01494,Prime Trading Est,51596201,,3503.18,Anwar,45 days
CN-01495,Al Rai MEP Services,99092996,,"1,078.88",Mahmoud,COD
CN-01496,Oasis MEP Services,58317626,5000,"974,73",Mahmoud,90 days
CN-01497,Pearl Interiors,92401832,5000,2594.39,Suresh,COD
CN-01498,Kazma Contracting Co,65857800,2500,2013.34,Rakesh,Cash
CN-01499,Desert Engineering,51967749,10000,KWD 3755.55,Mahmoud,COD
CN-01500,Gulf Construction,59965383,,2165.76,Mahmoud,90 days
CN-01501,Pearl Contracting Co,54311999,2500,112.71,Khaled,30 days
CN-01502,United Workshop,56592987,1000,"3.657,10",Suresh,60 days
CN-01503,United Construction,59227150,1000,1685.34,Mahmoud,Cash
CN-01504,Marina Engineering,92176244,,697.54,Mahmoud,Cash
CN-01505,Fahad Maintenance Co,95480602,10000,KWD 1631.23,Khaled,45 days
CN-01506,Kazma Trading Est,98519165,1000,2213.36,Anwar,30 days
CN-01507,Gulf Trading Est,54690455,1000,626.64,Joseph,Cash
CN-01508,Pearl Workshop,97685389,,"3.730,36",Suresh,Cash
CN-01509,Salmi Contracting Co,93625601,,2114.18,Joseph,90 days
CN-01510,Modern Engineering,95426380,5000,3281.36,Suresh,Cash
CN-01511,Desert Real Estate,96908262,5000,KWD 195.96,Rakesh,Cash
CN-01512,Reliable Builders,64824457,,184.95,Suresh,30 days
CN-01513,Fahad Contracting Co,57391429,5000,"3,912.14",Mahmoud,Cash
CN-01514,United Builders,62085559,10000,"1.960,71",Khaled,90 days
CN-01515,Falcon Contracting Co,52292770,10000,685.70,Khaled,90 days
CN-01516,National Construction,94356256,10000,-,Anwar,45 days
CN-01517,Gulf Real Estate,52680376,,KWD 2468.14,Rakesh,90 days
CN-01518,Salmi Construction,69001505,10000,2042.39,Suresh,60 days
CN-01519,Desert Trading Est,52506773,10000,"3,866.44",Joseph,45 days
CN-01520,National Maintenance Co,95266798,10000,"2.626,06",Suresh,30 days
CN-01521,Pearl Construction,51156573,10000,1048.46,Suresh,60 days
CN-01522,Kazma Maintenance Co,96732885,2500,2505.72,Mahmoud,90 days
CN-01523,United MEP Services,51336586,10000,KWD 247.19,Suresh,30 days
CN-01524,Desert Engineering,69612020,2500,414.97,Suresh,COD
CN-01525,Reliable Builders,56726922,1000,"1,988.85",Mahmoud,60 days
CN-01526,Oasis Trading Est,59421798,,"2.804,20",Rakesh,90 days
CN-01527,Fahad Construction,93949296,1000,336.33,Anwar,Cash
CN-01528,Pearl Builders,59098314,2500,3758.14,Khaled,COD
CN-01529,Al Manar MEP Services,52947936,2500,KWD 705.41,Mahmoud,60 days
CN-01530,Kazma Real Estate,65128205,10000,2902.36,Suresh,Cash
CN-01531,United Maintenance Co,63172096,1000,"1,020.65",Joseph,30 days
CN-01532,Pearl Contracting Co,61887522,2500,"1.457,40",Anwar,60 days
CN-01533,Al Manar Contracting Co,95351641,2500,2698.18,Anwar,45 days
CN-01534,Fahad Workshop,64990185,2500,2908.99,Joseph,COD
CN-01535,Kazma Real Estate,92082850,5000,KWD 1119.75,Joseph,45 days
CN-01536,Pearl Real Estate,61756021,10000,568.28,Khaled,30 days
CN-01537,Pearl Trading Est,69382442,10000,"1,042.39",Khaled,COD
CN-01538,Modern MEP Services,55503775,1000,"2.458,77",Mahmoud,60 days
CN-01539,Prime Workshop,54904674,10000,3359.88,Rakesh,45 days
CN-01540,Capital Maintenance Co,51441320,,1218.47,Mahmoud,45 days
CN-01541,Reliable Builders,67775383,,KWD 2352.54,Anwar,Cash
CN-01542,Al Rai Builders,56198497,1000,1849.45,Mahmoud,60 days
CN-01543,Al Rai Workshop,94501834,5000,"2,838.85",Joseph,45 days
CN-01544,Prime Engineering,91642121,2500,"2.377,05",Suresh,90 days
CN-01545,Mubarak Real Estate,91128006,5000,268.98,Khaled,Cash
CN-01546,Modern Trading Est,57555808,5000,2051.54,Anwar,60 days
CN-01547,Modern Engineering,59945100,5000,KWD 721.20,Suresh,90 days
CN-01548,Al Rai Builders,62909453,5000,1980.21,Khaled,Cash
CN-01549,United Real Estate,96297824,5000,"2,332.15",Rakesh,60 days
CN-01550,Mubarak Contracting Co,56109080,10000,"3.735,57",Anwar,Cash
CN-01551,Burgan Interiors,95287531,5000,1782.64,Khaled,90 days
CN-01552,United Contracting Co,52854580,1000,2003.43,Suresh,COD
CN-01553,Al Rai MEP Services,96237936,10000,KWD 61.55,Mahmoud,30 days
CN-01554,Desert Trading Est,64461306,5000,1462.62,Anwar,90 days
CN-01555,Reliable Contracting Co,91721453,10000,494.51,Mahmoud,30 days
CN-01556,Oasis MEP Services,63827404,5000,"677,04",Khaled,Cash
CN-01557,Gulf Engineering,67047717,1000,2600.83,Anwar,COD
CN-01558,Fahad Maintenance Co,92921781,2500,2212.92,Mahmoud,45 days
CN-01559,Capital Engineering,99293972,,KWD 3153.45,Khaled,60 days
CN-01560,Al Rai Real Estate,93286761,,2253.35,Mahmoud,90 days
CN-01561,Capital Maintenance Co,68332393,10000,472.33,Suresh,45 days
CN-01562,Pearl MEP Services,65146388,,"1.856,34",Anwar,45 days
CN-01563,Burgan Maintenance Co,98716572,,1224.75,Mahmoud,45 days
CN-01564,Salmi Trading Est,98579015,5000,828.89,Khaled,Cash
CN-01565,Burgan Workshop,66392148,2500,KWD 3719.46,Anwar,Cash
CN-01566,Falcon Contracting Co,64385713,1000,1880.41,Rakesh,60 days
CN-01567,Reliable Maintenance Co,54662043,10000,"1,761.14",Anwar,COD
CN-01568,Gulf Real Estate,55608189,1000,"2.744,95",Khaled,COD
CN-01569,Gulf Maintenance Co,91389916,2500,987.15,Joseph,90 days
CN-01570,Al Manar Construction,94383443,10000,2189.84,Khaled,90 days
CN-01571,Burgan Contracting Co,53124262,1000,KWD 755.70,Rakesh,Cash
CN-01572,Modern Real Estate,61318431,2500,2173.28,Khaled,45 days
CN-01573,Desert Contracting Co,58267278,,935.95,Suresh,90 days
CN-01574,Reliable Trading Est,98685468,10000,"514,10",Joseph,30 days
CN-01575,Sabah Maintenance Co,96581460,1000,1453.74,Suresh,90 days
CN-01576,Salmi Construction,53336708,5000,318.01,Rakesh,45 days
CN-01577,Al Manar Maintenance Co,65285877,10000,KWD 3219.47,Anwar,30 days
CN-01578,Gulf Engineering,58888061,5000,785.76,Suresh,60 days
CN-01579,Salmi Construction,97466291,10000,"2,427.88",Khaled,45 days
CN-01580,Pearl Construction,94303527,1000,"1.564,64",Mahmoud,45 days
CN-01581,Pearl Interiors,96058048,,2698.71,Suresh,60 days
CN-01582,Fahad Interiors,53659268,,403.93,Mahmoud,45 days
CN-01583,Sabah MEP Services,99806037,10000,KWD 2228.43,Anwar,90 days
CN-01584,National Contracting Co,54026803,10000,1228.78,Khaled,COD
CN-01585,National Engineering,62314786,,"2,443.13",Suresh,Cash
CN-01586,Kazma Builders,93034888,2500,"2.154,37",Mahmoud,90 days
CN-01587,Sabah Contracting Co,97123147,10000,2798.20,Khaled,60 days
CN-01588,Kazma Builders,65243841,,2513.96,Khaled,Cash
CN-01589,Burgan Construction,61337140,1000,KWD 895.42,Rakesh,Cash
CN-01590,National Real Estate,66640973,2500,826.70,Rakesh,45 days
CN-01591,Fahad MEP Services,61692997,,"1,870.70",Suresh,90 days
CN-01592,Al Manar Construction,56197280,,"3.736,85",Khaled,30 days
CN-01593,Prime Contracting Co,99233640,2500,2986.54,Suresh,COD
CN-01594,Pearl Real Estate,59521636,10000,1315.76,Anwar,60 days
CN-01595,Pearl Builders,52650718,5000,KWD 376.15,Khaled,Cash
CN-01596,Marina Maintenance Co,94906379,1000,1742.42,Mahmoud,COD
CN-01597,Al Manar Contracting Co,98841908,2500,"1,466.41",Suresh,90 days
CN-01598,Pearl Interiors,58863119,,"1.000,72",Khaled,COD
CN-01599,Prime Contracting Co,57986452,,3921.80,Joseph,90 days
CN-01600,Capital Real Estate,66302346,1000,1168.34,Anwar,60 days
CN-01601,Falcon Trading Est,52938022,1000,KWD 1493.75,Joseph,60 days
CN-01602,Burgan Trading Est,55752423,,2267.88,Mahmoud,30 days
CN-01603,Burgan Maintenance Co,94844727,,"3,395.78",Joseph,45 days
CN-01604,Sabah Builders,68888223,1000,"1.772,65",Khaled,Cash
CN-01605,Reliable Interiors,52784788,10000,3818.79,Khaled,30 days
CN-01606,Marina Contracting Co,62620390,,563.68,Anwar,60 days
CN-01607,Capital Real Estate,56004483,10000,KWD 2288.96,Joseph,45 days
CN-01608,National Trading Est,91865521,5000,3510.37,Rakesh,30 days
CN-01609,Oasis Maintenance Co,54951238,5000,"2,668.25",Mahmoud,30 days
CN-01610,Reliable Trading Est,93580206,2500,"888,10",Khaled,Cash
CN-01611,Al Manar Workshop,62752091,1000,2868.57,Suresh,Cash
CN-01612,Al Manar MEP Services,61472847,10000,3399.02,Suresh,60 days
